lat,lon,elevation_m,distance_km
36.208172,-116.776489,-77.0,7.453
36.208426,-116.776425,-77.5,7.483
36.208903,-116.776229,-77.9,7.541
36.211545,-116.775211,-78.4,7.862
36.211812,-116.775069,-78.8,7.896
36.212005,-116.774927,-79.3,7.922
36.212136,-116.774803,-79.8,7.941
36.212308,-116.774616,-80.2,7.968
36.212522,-116.774348,-80.7,8.003
36.21302,-116.773644,-81.2,8.091
36.213164,-116.773466,-81.6,8.114
36.213307,-116.773333,-82.1,8.134
36.213435,-116.773259,-82.6,8.151
36.213629,-116.773191,-83.0,8.174
36.2138,-116.773158,-83.5,8.195
36.213978,-116.773164,-84.0,8.215
36.215192,-116.773325,-84.4,8.357
36.216413,-116.773433,-84.9,8.498
36.217702,-116.773457,-84.7,8.648
36.219724,-116.773474,-84.5,8.882
36.220044,-116.773498,-84.3,8.92
36.220226,-116.773563,-84.2,8.941
36.22037,-116.773638,-84.0,8.96
36.220549,-116.77377,-83.8,8.984
36.220705,-116.773934,-83.6,9.007
36.220847,-116.774169,-83.4,9.035
36.220907,-116.774302,-83.2,9.049
36.221204,-116.775087,-83.1,9.13
36.221478,-116.775828,-82.9,9.206
36.221571,-116.776055,-82.7,9.23
36.221669,-116.776237,-82.5,9.251
36.221844,-116.776499,-82.3,9.282
36.221967,-116.776647,-82.1,9.302
36.222065,-116.77675,-81.9,9.318
36.222216,-116.776879,-81.8,9.339
36.222472,-116.777049,-81.6,9.372
36.223299,-116.777507,-81.4,9.477
36.223476,-116.777595,-81.2,9.499
36.223627,-116.777655,-81.0,9.518
36.223824,-116.777712,-80.8,9.541
36.224019,-116.777732,-80.7,9.564
36.224263,-116.777728,-80.5,9.592
36.224453,-116.777692,-80.3,9.615
36.224601,-116.777654,-80.1,9.632
36.224733,-116.777603,-80.1,9.648
36.225704,-116.777085,-80.2,9.77
36.226122,-116.776857,-80.2,9.824
36.226418,-116.776678,-80.2,9.862
36.226521,-116.776602,-80.3,9.876
36.226719,-116.77645,-80.3,9.903
36.226946,-116.77625,-80.3,9.935
36.227123,-116.776066,-80.3,9.962
36.227328,-116.775822,-80.4,9.995
36.22784,-116.775122,-80.4,10.083
36.228474,-116.77424,-80.4,10.194
36.22874,-116.773859,-80.5,10.241
36.228911,-116.773603,-80.5,10.272
36.228994,-116.773454,-80.5,10.289
36.229045,-116.773344,-80.6,10.301
36.229108,-116.77318,-80.6,10.318
36.229158,-116.773038,-80.6,10.332
36.229234,-116.772756,-80.7,10.359
36.229267,-116.772602,-80.7,10.375
36.229289,-116.772449,-80.7,10.39
36.229301,-116.772335,-80.7,10.4
36.229313,-116.772205,-80.8,10.413
36.229314,-116.771933,-80.8,10.438
36.229299,-116.771658,-80.8,10.464
36.229276,-116.771474,-80.9,10.481
36.229245,-116.771309,-80.9,10.497
36.229202,-116.771115,-80.7,10.516
36.228878,-116.770112,-80.6,10.617
36.228497,-116.768913,-80.4,10.737
36.228466,-116.768712,-80.3,10.757
36.228463,-116.768524,-80.1,10.774
36.228488,-116.768342,-80.0,10.791
36.228527,-116.768231,-79.8,10.803
36.228568,-116.768124,-79.7,10.814
36.228678,-116.767947,-79.5,10.835
36.228818,-116.767791,-79.4,10.857
36.229239,-116.76744,-79.2,10.915
36.230348,-116.766504,-79.1,11.07
36.230605,-116.7663,-78.9,11.106
36.230784,-116.766188,-78.7,11.129
36.23094,-116.766099,-78.6,11.149
36.231191,-116.766,-78.4,11.18
36.231436,-116.765952,-78.3,11.208
36.231628,-116.765933,-78.1,11.231
36.231808,-116.76593,-78.0,11.252
36.232031,-116.765957,-77.8,11.278
36.232243,-116.766005,-77.7,11.303
36.232416,-116.76607,-77.5,11.324
36.232608,-116.766153,-77.4,11.347
36.232784,-116.76626,-77.2,11.37
36.232978,-116.766389,-77.1,11.396
36.233734,-116.766912,-76.9,11.496
36.234263,-116.76727,-77.0,11.566
36.234806,-116.767663,-77.2,11.639
36.235337,-116.768025,-77.3,11.709
36.235901,-116.76843,-77.5,11.785
36.237689,-116.769672,-77.6,12.022
36.238301,-116.770103,-77.8,12.104
36.238931,-116.770528,-77.9,12.187
36.239463,-116.7709,-78.1,12.258
36.239966,-116.771199,-78.2,12.323
36.240531,-116.771475,-78.4,12.393
36.241136,-116.7717,-78.5,12.466
36.241588,-116.771828,-78.7,12.52
36.242245,-116.771963,-78.8,12.597
36.243022,-116.772112,-79.0,12.688
36.243847,-116.772277,-79.1,12.785
36.247165,-116.772913,-79.3,13.174
36.247832,-116.773045,-79.4,13.253
36.251774,-116.773789,-79.6,13.715
36.25217,-116.773883,-79.7,13.761
36.252615,-116.774016,-79.9,13.815
36.252996,-116.774146,-80.0,13.861
36.25335,-116.774291,-80.2,13.903
36.253689,-116.774443,-80.3,13.945
36.253982,-116.774586,-80.5,13.981
36.254253,-116.774731,-80.6,14.016
36.254595,-116.774935,-80.8,14.06
36.255116,-116.775283,-80.0,14.128
36.255697,-116.775719,-79.3,14.208
36.257008,-116.77674,-78.5,14.387
36.257653,-116.777227,-77.8,14.475
36.258318,-116.777757,-77.0,14.566
36.261569,-116.780286,-76.3,15.011
36.26222,-116.780778,-75.5,15.099
36.266183,-116.783863,-74.7,15.641
36.266866,-116.784381,-74.0,15.734
36.268872,-116.785958,-73.2,16.01
36.269452,-116.786467,-72.5,16.093
36.270136,-116.787128,-71.7,16.193
36.270489,-116.787504,-70.9,16.247
36.270968,-116.788034,-70.2,16.321
36.271326,-116.788474,-69.4,16.379
36.271879,-116.789224,-68.7,16.474
36.27254,-116.790207,-67.9,16.594
36.272801,-116.790643,-67.2,16.645
36.273233,-116.791408,-66.4,16.732
36.27403,-116.792875,-65.6,16.898
36.275389,-116.795374,-64.9,17.179
36.275549,-116.795647,-64.1,17.21
36.276437,-116.797277,-63.4,17.395
36.276842,-116.797963,-62.6,17.474
36.277038,-116.798267,-61.9,17.511
36.277423,-116.798781,-61.1,17.576
36.277822,-116.799251,-60.8,17.64
36.278355,-116.799783,-60.4,17.719
36.278617,-116.800014,-60.1,17.757
36.278949,-116.800272,-59.7,17.802
36.279395,-116.800575,-59.4,17.861
36.28025,-116.801086,-59.1,17.971
36.282586,-116.802454,-58.7,18.271
36.283684,-116.803081,-58.4,18.41
36.284271,-116.803428,-58.1,18.486
36.286829,-116.804903,-57.7,18.813
36.289444,-116.806419,-57.4,19.148
36.292257,-116.808063,-57.0,19.508
36.295023,-116.809659,-56.7,19.862
36.295679,-116.81005,-56.4,19.946
36.29703,-116.810822,-56.0,20.118
36.297739,-116.811213,-55.7,20.209
36.298609,-116.811743,-55.3,20.321
36.299421,-116.812215,-55.0,20.425
36.299809,-116.812457,-54.7,20.475
36.300647,-116.812933,-54.3,20.582
36.301739,-116.813578,-54.0,20.722
36.302378,-116.813941,-53.7,20.803
36.304903,-116.815406,-53.3,21.127
36.305535,-116.815757,-53.0,21.207
36.306191,-116.816148,-52.6,21.291
36.308719,-116.817611,-52.3,21.614
36.31228,-116.819701,-52.7,22.071
36.313822,-116.820625,-53.0,22.27
36.315302,-116.8215,-53.4,22.46
36.315676,-116.821684,-53.8,22.507
36.315893,-116.821802,-54.2,22.534
36.318208,-116.823166,-54.5,22.831
36.320624,-116.824563,-54.9,23.141
36.322947,-116.825924,-55.3,23.438
36.323773,-116.826396,-55.7,23.543
36.327192,-116.828396,-56.0,23.982
36.329895,-116.829981,-56.4,24.328
36.331155,-116.830711,-56.8,24.49
36.332144,-116.831259,-57.1,24.615
36.332465,-116.831436,-57.5,24.656
36.332917,-116.831666,-57.9,24.712
36.33387,-116.832127,-58.3,24.831
36.334848,-116.832549,-58.6,24.951
36.336872,-116.833346,-59.0,25.197
36.337552,-116.833625,-59.4,25.28
36.338504,-116.833995,-59.8,25.396
36.338798,-116.834121,-60.1,25.433
36.34025,-116.834689,-60.5,25.609
36.345752,-116.836865,-60.9,26.278
36.347317,-116.837496,-61.3,26.469
36.348675,-116.83803,-61.6,26.634
36.351111,-116.838986,-62.0,26.93
36.353423,-116.83991,-62.6,27.211
36.353748,-116.840048,-63.1,27.252
36.354656,-116.8404,-63.7,27.361
36.359545,-116.842337,-64.2,27.957
36.361025,-116.842932,-64.8,28.137
36.365133,-116.844592,-65.4,28.638
36.36542,-116.844705,-65.9,28.673
36.365876,-116.844883,-66.5,28.728
36.366998,-116.845315,-67.1,28.865
36.368772,-116.84601,-67.6,29.08
36.372115,-116.84734,-68.2,29.487
36.373193,-116.847768,-68.7,29.619
36.374954,-116.848466,-69.3,29.832
36.375928,-116.848853,-69.9,29.951
36.376667,-116.849135,-70.4,30.041
36.380779,-116.850773,-71.0,30.541
36.38162,-116.851095,-71.5,30.644
36.381715,-116.851131,-72.1,30.655
36.381815,-116.851174,-72.7,30.667
36.382309,-116.851381,-73.2,30.728
36.382832,-116.851586,-73.8,30.792
36.383689,-116.851939,-74.4,30.896
36.384564,-116.852285,-74.9,31.002
36.384894,-116.852394,-75.5,31.042
36.385132,-116.852435,-76.0,31.07
36.385435,-116.852443,-76.6,31.105
36.385748,-116.852395,-75.8,31.142
36.385929,-116.85235,-74.9,31.163
36.386139,-116.852264,-74.1,31.189
36.386468,-116.852087,-73.2,31.23
36.389042,-116.850601,-72.4,31.559
36.389497,-116.850343,-71.5,31.617
36.389771,-116.850169,-70.7,31.653
36.390067,-116.849932,-69.9,31.693
36.390653,-116.849385,-69.0,31.779
36.391179,-116.848868,-68.2,31.856
36.391649,-116.84843,-67.3,31.925
36.391894,-116.848244,-66.5,31.958
36.392073,-116.848155,-65.6,31.98
36.392211,-116.848111,-64.8,31.997
36.392516,-116.848045,-64.0,32.032
36.393117,-116.847964,-63.1,32.102
36.396625,-116.847483,-62.3,32.512
36.400896,-116.846824,-61.4,33.01
36.404066,-116.846363,-60.6,33.38
36.404891,-116.846232,-59.8,33.477
36.4088,-116.845657,-58.9,33.934
36.409182,-116.845612,-58.1,33.978
36.409976,-116.845561,-57.2,34.071
36.410386,-116.845551,-56.4,34.117
36.411276,-116.845573,-55.5,34.221
36.411981,-116.845636,-54.7,34.303
36.412325,-116.845683,-54.6,34.343
36.412852,-116.845768,-54.5,34.404
36.413673,-116.845946,-54.3,34.501
36.415434,-116.846394,-54.2,34.71
36.416302,-116.846605,-54.1,34.812
36.420493,-116.847696,-54.0,35.308
36.420653,-116.847725,-53.9,35.327
36.422875,-116.848275,-53.7,35.59
36.423706,-116.848488,-53.6,35.689
36.424521,-116.848701,-53.5,35.785
36.425536,-116.84894,-53.4,35.905
