lat,lon,elevation_m,distance_km
36.220044,-116.773498,-84.3,8.555
36.220226,-116.773563,-84.2,8.576
36.22037,-116.773638,-84.0,8.594
36.220549,-116.77377,-83.8,8.617
36.220705,-116.773934,-83.6,8.639
36.220847,-116.774169,-83.4,8.666
36.220907,-116.774302,-83.2,8.679
36.221204,-116.775087,-83.1,8.757
36.221478,-116.775828,-82.9,8.83
36.221571,-116.776055,-82.7,8.853
36.221669,-116.776237,-82.5,8.873
36.221844,-116.776499,-82.3,8.903
36.221967,-116.776647,-82.1,8.922
36.222065,-116.77675,-81.9,8.937
36.222216,-116.776879,-81.8,8.957
36.222472,-116.777049,-81.6,8.989
36.223299,-116.777507,-81.4,9.09
36.223476,-116.777595,-81.2,9.111
36.223627,-116.777655,-81.0,9.129
36.223824,-116.777712,-80.8,9.151
36.224019,-116.777732,-80.7,9.173
36.224263,-116.777728,-80.5,9.2
36.224453,-116.777692,-80.3,9.222
36.224601,-116.777654,-80.1,9.238
36.224733,-116.777603,-80.1,9.254
36.225704,-116.777085,-80.2,9.371
36.226122,-116.776857,-80.2,9.422
36.226418,-116.776678,-80.2,9.459
36.226521,-116.776602,-80.3,9.472
36.226719,-116.77645,-80.3,9.498
36.226946,-116.77625,-80.3,9.529
36.227123,-116.776066,-80.3,9.555
36.227328,-116.775822,-80.4,9.586
36.22784,-116.775122,-80.4,9.671
36.228474,-116.77424,-80.4,9.777
36.22874,-116.773859,-80.5,9.822
36.228911,-116.773603,-80.5,9.852
36.228994,-116.773454,-80.5,9.868
36.229045,-116.773344,-80.6,9.88
36.229108,-116.77318,-80.6,9.896
36.229158,-116.773038,-80.6,9.91
36.229234,-116.772756,-80.7,9.936
36.229267,-116.772602,-80.7,9.951
36.229289,-116.772449,-80.7,9.965
36.229301,-116.772335,-80.7,9.975
36.229313,-116.772205,-80.8,9.987
36.229314,-116.771933,-80.8,10.011
36.229299,-116.771658,-80.8,10.036
36.229276,-116.771474,-80.9,10.053
36.229245,-116.771309,-80.9,10.068
36.229202,-116.771115,-80.7,10.086
36.228878,-116.770112,-80.6,10.183
36.228497,-116.768913,-80.4,10.298
36.228466,-116.768712,-80.3,10.317
36.228463,-116.768524,-80.1,10.334
36.228488,-116.768342,-80.0,10.35
36.228527,-116.768231,-79.8,10.361
36.228568,-116.768124,-79.7,10.372
36.228678,-116.767947,-79.5,10.392
36.228818,-116.767791,-79.4,10.413
36.229239,-116.76744,-79.2,10.469
36.230348,-116.766504,-79.1,10.618
36.230605,-116.7663,-78.9,10.652
36.230784,-116.766188,-78.7,10.674
36.23094,-116.766099,-78.6,10.693
36.231191,-116.766,-78.4,10.723
36.231436,-116.765952,-78.3,10.75
36.231628,-116.765933,-78.1,10.772
36.231808,-116.76593,-78.0,10.792
36.232031,-116.765957,-77.8,10.817
36.232243,-116.766005,-77.7,10.841
36.232416,-116.76607,-77.5,10.861
36.232608,-116.766153,-77.4,10.883
36.232784,-116.76626,-77.2,10.905
36.232978,-116.766389,-77.1,10.93
36.233734,-116.766912,-76.9,11.026
36.234263,-116.76727,-77.0,11.093
36.234806,-116.767663,-77.2,11.163
36.235337,-116.768025,-77.3,11.23
36.235901,-116.76843,-77.5,11.303
36.237689,-116.769672,-77.6,11.531
36.238301,-116.770103,-77.8,11.609
36.238931,-116.770528,-77.9,11.689
36.239463,-116.7709,-78.1,11.757
36.239966,-116.771199,-78.2,11.819
36.240531,-116.771475,-78.4,11.886
36.241136,-116.7717,-78.5,11.956
36.241588,-116.771828,-78.7,12.008
36.242245,-116.771963,-78.8,12.082
36.243022,-116.772112,-79.0,12.169
36.243847,-116.772277,-79.1,12.262
36.247165,-116.772913,-79.3,12.636
36.247832,-116.773045,-79.4,12.711
36.251774,-116.773789,-79.6,13.154
36.25217,-116.773883,-79.7,13.199
36.252615,-116.774016,-79.9,13.25
36.252996,-116.774146,-80.0,13.294
36.25335,-116.774291,-80.2,13.335
36.253689,-116.774443,-80.3,13.375
36.253982,-116.774586,-80.5,13.41
36.254253,-116.774731,-80.6,13.443
36.254595,-116.774935,-80.8,13.485
36.255116,-116.775283,-80.0,13.551
36.255697,-116.775719,-79.3,13.627
36.257008,-116.77674,-78.5,13.799
36.257653,-116.777227,-77.8,13.883
36.258318,-116.777757,-77.0,13.971
36.261569,-116.780286,-76.3,14.397
36.26222,-116.780778,-75.5,14.482
36.266183,-116.783863,-74.7,15.002
36.266866,-116.784381,-74.0,15.091
36.268872,-116.785958,-73.2,15.356
36.269452,-116.786467,-72.5,15.435
36.270136,-116.787128,-71.7,15.531
36.270489,-116.787504,-70.9,15.583
36.270968,-116.788034,-70.2,15.654
36.271326,-116.788474,-69.4,15.71
36.271879,-116.789224,-68.7,15.801
36.27254,-116.790207,-67.9,15.916
36.272801,-116.790643,-67.2,15.965
36.273233,-116.791408,-66.4,16.048
36.27403,-116.792875,-65.6,16.207
36.275389,-116.795374,-64.9,16.477
36.275549,-116.795647,-64.1,16.507
36.276437,-116.797277,-63.4,16.684
36.276842,-116.797963,-62.6,16.76
36.277038,-116.798267,-61.9,16.795
36.277423,-116.798781,-61.1,16.858
36.277822,-116.799251,-60.8,16.919
36.278355,-116.799783,-60.4,16.995
36.278617,-116.800014,-60.1,17.031
36.278949,-116.800272,-59.7,17.074
36.279395,-116.800575,-59.4,17.131
36.28025,-116.801086,-59.1,17.236
36.282586,-116.802454,-58.7,17.524
36.283684,-116.803081,-58.4,17.658
36.284271,-116.803428,-58.1,17.73
36.286829,-116.804903,-57.7,18.044
36.289444,-116.806419,-57.4,18.365
36.292257,-116.808063,-57.0,18.711
36.295023,-116.809659,-56.7,19.05
36.295679,-116.81005,-56.4,19.131
36.29703,-116.810822,-56.0,19.296
36.297739,-116.811213,-55.7,19.383
36.298609,-116.811743,-55.3,19.49
36.299421,-116.812215,-55.0,19.59
36.299809,-116.812457,-54.7,19.638
36.300647,-116.812933,-54.3,19.741
36.301739,-116.813578,-54.0,19.875
36.302378,-116.813941,-53.7,19.953
36.304903,-116.815406,-53.3,20.263
36.305535,-116.815757,-53.0,20.34
36.306191,-116.816148,-52.6,20.421
36.308719,-116.817611,-52.3,20.731
36.31228,-116.819701,-52.7,21.169
36.313822,-116.820625,-53.0,21.36
36.315302,-116.8215,-53.4,21.542
36.315676,-116.821684,-53.8,21.587
36.315893,-116.821802,-54.2,21.613
36.318208,-116.823166,-54.5,21.898
36.320624,-116.824563,-54.9,22.195
36.322947,-116.825924,-55.3,22.48
36.323773,-116.826396,-55.7,22.581
36.327192,-116.828396,-56.0,23.002
36.329895,-116.829981,-56.4,23.334
36.331155,-116.830711,-56.8,23.489
36.332144,-116.831259,-57.1,23.609
36.332465,-116.831436,-57.5,23.648
36.332917,-116.831666,-57.9,23.702
36.33387,-116.832127,-58.3,23.816
36.334848,-116.832549,-58.6,23.931
36.336872,-116.833346,-59.0,24.167
36.337552,-116.833625,-59.4,24.247
36.338504,-116.833995,-59.8,24.358
36.338798,-116.834121,-60.1,24.393
36.34025,-116.834689,-60.5,24.562
36.345752,-116.836865,-60.9,25.204
36.347317,-116.837496,-61.3,25.387
36.348675,-116.83803,-61.6,25.545
36.351111,-116.838986,-62.0,25.829
36.353423,-116.83991,-62.6,26.099
36.353748,-116.840048,-63.1,26.138
36.354656,-116.8404,-63.7,26.243
36.359545,-116.842337,-64.2,26.814
36.361025,-116.842932,-64.8,26.987
36.365133,-116.844592,-65.4,27.467
36.36542,-116.844705,-65.9,27.501
36.365876,-116.844883,-66.5,27.554
36.366998,-116.845315,-67.1,27.685
36.368772,-116.84601,-67.6,27.891
36.372115,-116.84734,-68.2,28.282
36.373193,-116.847768,-68.7,28.408
36.374954,-116.848466,-69.3,28.613
36.375928,-116.848853,-69.9,28.727
36.376667,-116.849135,-70.4,28.813
36.380779,-116.850773,-71.0,29.293
36.38162,-116.851095,-71.5,29.391
36.381715,-116.851131,-72.1,29.402
36.381815,-116.851174,-72.7,29.414
36.382309,-116.851381,-73.2,29.472
36.382832,-116.851586,-73.8,29.533
36.383689,-116.851939,-74.4,29.633
36.384564,-116.852285,-74.9,29.735
36.384894,-116.852394,-75.5,29.773
36.385132,-116.852435,-76.0,29.8
36.385435,-116.852443,-76.6,29.834
36.385748,-116.852395,-75.8,29.869
36.385929,-116.85235,-74.9,29.889
36.386139,-116.852264,-74.1,29.914
36.386468,-116.852087,-73.2,29.954
36.389042,-116.850601,-72.4,30.269
36.389497,-116.850343,-71.5,30.325
36.389771,-116.850169,-70.7,30.359
36.390067,-116.849932,-69.9,30.398
36.390653,-116.849385,-69.0,30.48
36.391179,-116.848868,-68.2,30.554
36.391649,-116.84843,-67.3,30.62
36.391894,-116.848244,-66.5,30.652
36.392073,-116.848155,-65.6,30.673
36.392211,-116.848111,-64.8,30.689
36.392516,-116.848045,-64.0,30.723
36.393117,-116.847964,-63.1,30.79
36.396625,-116.847483,-62.3,31.183
36.400896,-116.846824,-61.4,31.661
36.404066,-116.846363,-60.6,32.016
36.404891,-116.846232,-59.8,32.109
36.4088,-116.845657,-58.9,32.547
36.409182,-116.845612,-58.1,32.589
36.409976,-116.845561,-57.2,32.678
36.410386,-116.845551,-56.4,32.723
36.411276,-116.845573,-55.5,32.822
36.411981,-116.845636,-54.7,32.901
36.412325,-116.845683,-54.6,32.939
